Chuyên đề,Câu hỏi lớn của chuyên đề,Mã dạng,Dạng bài,Đọc vị — dấu hiệu trên đề,Phương pháp,Bước giải (việc → mục đích),Mẹo xử lý,Sai lầm đặc trưng
Điện & từ,"Dòng điện đi theo đường nào, và ở mỗi đoạn thì hiệu điện thế rơi bao nhiêu?",ele.circuit,Mạch điện một chiều,"Có sơ đồ mạch với các điện trở nối tiếp hoặc song song | Đề hỏi cường độ dòng điện, hiệu điện thế, công suất","Rút gọn mạch về một điện trở tương đương, tính dòng chính, rồi đi ngược trở lại phân phối dòng và hiệu điện thế cho từng nhánh. Nối tiếp thì dòng chung, song song thì hiệu điện thế chung — hai câu này quyết định mọi bước.","1. Nhận diện các cụm nối tiếp và song song. → Rút gọn sai cấu trúc thì mọi số sau đều sai. | 2. Tính điện trở tương đương từ trong ra ngoài. → Cụm sâu nhất phải gộp trước. | 3. Tính dòng chính bằng định luật Ohm cho toàn mạch. → Đây là điểm xuất phát để phân phối ngược. | 4. Đi ngược lại: nối tiếp giữ nguyên dòng, song song giữ nguyên hiệu điện thế. → Hai quy tắc này đủ để tìm mọi đại lượng còn lại.","Hai điện trở song song: R = R₁R₂/(R₁+R₂), luôn NHỎ HƠN cả hai. Kiểm tra nhanh này bắt được lỗi nhầm nối tiếp với song song ngay lập tức.",Cộng điện trở song song như nối tiếp. Kết quả lớn hơn cả hai là dấu hiệu sai chắc chắn.
Điện & từ,"Dòng điện đi theo đường nào, và ở mỗi đoạn thì hiệu điện thế rơi bao nhiêu?",ele.power,Công suất và điện năng tiêu thụ,"Đề hỏi công suất, nhiệt lượng tỏa ra, hoặc tiền điện | Có thiết bị ghi 220V — 1000W","Ba dạng của cùng một công thức: P = UI = I²R = U²/R. Chọn dạng chứa hai đại lượng bạn đã biết. Với bài nhiệt lượng, nhớ Q = Pt và đổi giờ ra giây.","1. Xác định hai đại lượng đã biết trong ba đại lượng U, I, R. → Chúng chỉ thẳng ra công thức nào dùng được. | 2. Chọn dạng công thức tương ứng. → Tránh phải tính thêm một đại lượng trung gian. | 3. Với điện năng: A = Pt, đổi kWh nếu đề hỏi tiền điện. → 1 kWh = 1000W trong 1 giờ; đơn vị này là của hóa đơn, không phải của SI. | 4. Kiểm tra thiết bị có hoạt động đúng hiệu điện thế định mức không. → Nếu không, công suất thực khác công suất ghi trên nhãn.","Số ghi trên thiết bị là công suất ĐỊNH MỨC, chỉ đạt khi dùng đúng hiệu điện thế định mức. Đề rất hay cho bóng 220V mắc vào nguồn 110V rồi hỏi công suất thực.",Lấy thẳng công suất ghi trên nhãn khi hiệu điện thế thực khác định mức.
Điện & từ,"Dòng điện đi theo đường nào, và ở mỗi đoạn thì hiệu điện thế rơi bao nhiêu?",ele.magnetic,Từ trường và cảm ứng điện từ,"Có nam châm, khung dây, hoặc dây dẫn mang dòng điện | Đề hỏi chiều dòng điện cảm ứng hoặc lực từ","Định luật Lenz: dòng cảm ứng luôn chống lại nguyên nhân sinh ra nó. Xác định từ thông đang tăng hay giảm, rồi suy ra chiều dòng cảm ứng theo hướng chống lại sự thay đổi đó.","1. Xác định chiều từ trường ban đầu qua khung. → Đây là mốc để nói tăng hay giảm. | 2. Xác định từ thông đang tăng hay giảm. → Chỉ sự THAY ĐỔI mới sinh ra dòng cảm ứng. | 3. Áp định luật Lenz: nếu từ thông tăng, dòng cảm ứng sinh từ trường ngược lại và ngược lại. → Đây là toàn bộ nội dung định luật. | 4. Dùng quy tắc nắm tay phải để chuyển từ chiều từ trường sang chiều dòng điện. → Chiều từ trường đã biết, nhưng đề hỏi chiều dòng điện — quy tắc này là cầu nối máy móc giữa hai thứ đó.","Định luật Lenz chỉ là bảo toàn năng lượng: nếu dòng cảm ứng hỗ trợ thay đổi thay vì chống lại, ta sẽ có chuyển động vĩnh cửu. Hiểu vậy thì không bao giờ nhớ nhầm chiều.","Nghĩ rằng từ trường mạnh sinh ra dòng cảm ứng. Từ trường KHÔNG ĐỔI, dù mạnh đến đâu, cũng không sinh dòng."
Lượng tử & hạt nhân,Hiện tượng này giải thích được bằng sóng hay bắt buộc phải dùng hạt?,mod.photon,Lượng tử ánh sáng và hiện tượng quang điện,"Đề nói về photon, công thoát, giới hạn quang điện | Chiếu ánh sáng vào kim loại","Năng lượng photon ε = hf = hc/λ. Hiện tượng quang điện xảy ra khi và chỉ khi ε ≥ A (công thoát), tức λ ≤ λ₀. Cường độ sáng KHÔNG quyết định có xảy ra hay không — nó chỉ quyết định số electron bật ra.","1. Tính năng lượng photon từ bước sóng. → Đây là đại lượng quyết định duy nhất. | 2. So sánh với công thoát của kim loại. → Nhỏ hơn thì không có hiện tượng, dù chiếu mạnh đến đâu. | 3. Nếu có hiện tượng: động năng cực đại = ε − A. → Phần năng lượng dư sau khi thắng lực liên kết. | 4. Đổi eV sang J nếu cần (1 eV = 1,6·10⁻¹⁹ J). → Công thoát thường cho bằng eV, còn công thức dùng J.","Tăng cường độ sáng làm tăng SỐ electron bật ra nhưng không đổi động năng cực đại. Tăng tần số mới làm tăng động năng. Đây là điểm mấu chốt phân biệt thuyết sóng với thuyết hạt, và đề hỏi rất nhiều.",Cho rằng chiếu đủ lâu hoặc đủ mạnh thì kim loại nào cũng bật electron.
Lượng tử & hạt nhân,Hiện tượng này giải thích được bằng sóng hay bắt buộc phải dùng hạt?,mod.atom,Mẫu nguyên tử Bo và quang phổ,"Đề nói về mức năng lượng, quỹ đạo dừng, vạch quang phổ | Hỏi bước sóng của bức xạ phát ra","Nguyên tử chỉ tồn tại ở các mức năng lượng rời rạc. Khi chuyển từ mức cao xuống mức thấp, nó phát ra một photon có năng lượng đúng bằng hiệu hai mức: hf = E_cao − E_thấp.","1. Xác định mức đầu và mức cuối của bước chuyển. → Hiệu của chúng là toàn bộ năng lượng photon. | 2. Tính hiệu năng lượng. → Chú ý dấu: phát xạ khi chuyển xuống, hấp thụ khi chuyển lên. | 3. Đổi sang bước sóng bằng λ = hc/ΔE. → Đề thường hỏi bước sóng chứ không hỏi năng lượng. | 4. Kiểm tra bước sóng nằm trong vùng nào của quang phổ. → Nhiều câu hỏi thực chất hỏi vạch đó nhìn thấy được hay không.",Số vạch tối đa khi nguyên tử từ mức n về mức cơ bản là n(n−1)/2 — chính là số cặp mức. Công thức tổ hợp này trả lời trực tiếp một dạng câu quen thuộc.,"Nhầm chiều: chuyển lên mức cao là HẤP THỤ photon, chuyển xuống mới là phát xạ."
Lượng tử & hạt nhân,Hiện tượng này giải thích được bằng sóng hay bắt buộc phải dùng hạt?,mod.nuclear,Hạt nhân và phóng xạ,"Có ký hiệu hạt nhân dạng ᴬZX | Đề nói về chu kỳ bán rã, phản ứng hạt nhân, năng lượng liên kết","Mọi phản ứng hạt nhân bảo toàn số khối A và số proton Z. Với phóng xạ, số hạt còn lại N = N₀·2^(−t/T) — một cấp số nhân với công bội 1/2 mỗi chu kỳ bán rã.",1. Với phản ứng: cân bằng tổng A và tổng Z ở hai vế. → Hai định luật bảo toàn này xác định hạt còn thiếu. | 2. Với phóng xạ: đếm số chu kỳ bán rã đã trôi qua. → Mỗi chu kỳ chia đôi một lần — đếm rồi chia là xong. | 3. Với năng lượng: tính độ hụt khối rồi nhân c². → Năng lượng liên kết đến từ phần khối lượng bị hụt. | 4. Chú ý năng lượng liên kết RIÊNG là chia cho số nuclon. → Đại lượng này mới dùng để so sánh độ bền giữa các hạt nhân.,"Sau n chu kỳ bán rã còn 1/2ⁿ. Sau 1 chu kỳ còn 50%, sau 2 còn 25%, sau 3 còn 12,5%. Thuộc ba mốc này thì phần lớn câu phóng xạ giải trong đầu.",Nhầm năng lượng liên kết với năng lượng liên kết riêng khi so sánh độ bền vững của hạt nhân.
Hóa đại cương,"Có bao nhiêu mol chất tham gia, và tỉ lệ phản ứng nói gì về chất nào hết trước?",che.mole,Tính theo phương trình hóa học,"Đề cho khối lượng hoặc thể tích chất tham gia, hỏi sản phẩm | Có phương trình phản ứng hoặc yêu cầu viết phương trình",Mol là đơn vị duy nhất nói chuyện được với phương trình hóa học. Quy trình bất biến: đổi mọi thứ ra mol → dùng tỉ lệ hệ số → đổi ngược ra đại lượng đề hỏi. Không bao giờ tính trực tiếp trên khối lượng.,"1. Viết và cân bằng phương trình. → Hệ số cân bằng chính là tỉ lệ mol; sai cân bằng thì sai mọi thứ. | 2. Đổi dữ kiện ra mol: n = m/M hoặc n = V/22,4 (khí ở đktc) hoặc n = C·V (dung dịch). → Ba công thức này bao trọn mọi cách đề cho dữ kiện. | 3. So sánh tỉ lệ mol thực với tỉ lệ hệ số để tìm chất hết trước. → Chất hết trước quyết định lượng sản phẩm; đây là bước bị bỏ qua nhiều nhất. | 4. Tính mol sản phẩm theo chất hết trước, rồi đổi ra đại lượng đề hỏi. → Chất dư không tham gia quyết định gì.","Tìm chất hết trước: chia số mol mỗi chất cho hệ số của nó trong phương trình; thương nhỏ nhất là chất hết trước. Quy tắc này nhanh và không bao giờ sai.",Cho rằng cả hai chất đều phản ứng hết. Đề cố tình cho dư một chất để kiểm tra bước này.
Hóa đại cương,"Có bao nhiêu mol chất tham gia, và tỉ lệ phản ứng nói gì về chất nào hết trước?",che.solution,Dung dịch và nồng độ,"Đề cho nồng độ mol, nồng độ phần trăm, hoặc khối lượng riêng | Có pha loãng, trộn dung dịch","Bám vào số mol chất tan — đại lượng duy nhất không đổi khi pha loãng. Nồng độ và thể tích đều đổi, nhưng tích của chúng thì giữ nguyên.","1. Tính số mol chất tan ban đầu. → Đây là chiếc neo của cả bài. | 2. Với pha loãng: dùng C₁V₁ = C₂V₂. → Chính là phát biểu ""số mol không đổi"". | 3. Với trộn: cộng số mol và cộng thể tích, rồi chia. → Nồng độ không cộng được, chỉ mol và thể tích cộng được. | 4. Chú ý chuyển đổi giữa C% và C_M cần khối lượng riêng. → Hai loại nồng độ có mẫu số khác nhau: khối lượng và thể tích.",C_M = 10·D·C% / M. Thuộc công thức chuyển đổi này thì không phải đi vòng qua khối lượng dung dịch mỗi lần.,"Cộng nồng độ khi trộn hai dung dịch. Nồng độ là tỉ số, không cộng được."
Hóa đại cương,"Có bao nhiêu mol chất tham gia, và tỉ lệ phản ứng nói gì về chất nào hết trước?",che.balance,Cân bằng phản ứng oxi hóa khử,"Có sự thay đổi số oxi hóa | Phản ứng có kim loại với axit mạnh, hoặc có KMnO₄, K₂Cr₂O₇",Phương pháp thăng bằng electron: chất khử nhường bao nhiêu electron thì chất oxi hóa nhận đúng bấy nhiêu. Toàn bộ việc cân bằng quy về một phép tìm bội chung.,"1. Xác định số oxi hóa của mọi nguyên tố trước và sau phản ứng. → Chỉ nguyên tố đổi số oxi hóa mới tham gia quá trình cho nhận electron. | 2. Viết hai quá trình: cho electron và nhận electron. → Tách riêng làm rõ số electron mỗi bên. | 3. Nhân hệ số để số electron cho bằng số electron nhận. → Đây là nội dung của định luật bảo toàn electron. | 4. Đưa hệ số vào phương trình, cân bằng nốt các nguyên tố còn lại và kiểm tra điện tích. → Kiểm tra cuối bắt được lỗi sót.",Bảo toàn electron cho phép bỏ qua hoàn toàn việc viết phương trình khi bài chỉ hỏi số mol: tổng electron nhường = tổng electron nhận. Đây là mẹo mạnh nhất của chuyên đề.,"Quên cân bằng điện tích trong phản ứng ion, chỉ cân bằng nguyên tố."
Hóa vô cơ,"Chất này thuộc nhóm nào, và nhóm đó phản ứng với những gì?",ino.metal,Kim loại tác dụng với axit và muối,"Có kim loại và dung dịch axit hoặc dung dịch muối | Đề hỏi khí thoát ra, khối lượng chất rắn sau phản ứng","Dãy hoạt động hóa học quyết định tất cả: kim loại đứng trước đẩy được kim loại đứng sau ra khỏi muối; kim loại trước H đẩy được H₂ ra khỏi axit loãng. Thuộc dãy là giải được phần lớn câu.","1. Định vị các kim loại trên dãy hoạt động. → Vị trí tương đối quyết định phản ứng có xảy ra không. | 2. Với axit loãng: chỉ kim loại trước H mới cho H₂. → Cu, Ag đứng sau H nên không tan trong HCl loãng. | 3. Với HNO₃ hoặc H₂SO₄ đặc: sản phẩm khí khác và hầu hết kim loại đều tan. → Đây là phản ứng oxi hóa khử bởi gốc axit, không phải bởi H⁺. | 4. Với muối: kim loại mạnh hơn đẩy kim loại yếu hơn, khối lượng chất rắn thay đổi theo hiệu khối lượng mol. → Bài toán ""tăng giảm khối lượng"" xây trên đúng nguyên tắc này.",Bài toán tăng giảm khối lượng: chênh lệch khối lượng thanh kim loại chia cho hiệu khối lượng mol của hai kim loại chính là số mol phản ứng. Một dòng thay cho cả hệ phương trình.,Cho rằng Cu không tan trong mọi axit. Cu tan trong HNO₃ và H₂SO₄ đặc nóng.
Hóa vô cơ,"Chất này thuộc nhóm nào, và nhóm đó phản ứng với những gì?",ino.oxide,"Oxit, axit, bazơ, muối — phản ứng trao đổi",Đề cho hai dung dịch và hỏi có phản ứng không | Có kết tủa hoặc khí bay ra,"Phản ứng trao đổi chỉ xảy ra khi tạo ra ít nhất một trong ba thứ: kết tủa, chất khí, hoặc chất điện li yếu (nước). Không có một trong ba thì không có phản ứng, dù trộn bao lâu.","1. Viết các ion có trong hai dung dịch. → Phản ứng thực chất xảy ra giữa các ion, không giữa các phân tử. | 2. Ghép chéo các ion để tìm sản phẩm khả dĩ. → Bốn ion cho hai cặp ghép mới. | 3. Kiểm tra sản phẩm có kết tủa, khí, hay nước không. → Đây là điều kiện duy nhất để phản ứng xảy ra. | 4. Viết phương trình ion rút gọn nếu đề yêu cầu. → Chỉ giữ các ion thực sự tham gia.","Bảng tính tan chỉ cần nhớ vài quy tắc: muối nitrat và muối kali, natri, amoni luôn tan; muối clorua tan trừ AgCl và PbCl₂; muối sunfat tan trừ BaSO₄, PbSO₄, CaSO₄ ít tan.",Viết phản ứng trao đổi mà không kiểm tra sản phẩm có kết tủa hay khí. Nhiều cặp dung dịch trộn vào nhau không xảy ra gì cả.
Hóa vô cơ,"Chất này thuộc nhóm nào, và nhóm đó phản ứng với những gì?",ino.identify,Nhận biết và tách chất,Đề cho vài dung dịch mất nhãn và yêu cầu nhận biết | Hỏi thuốc thử phân biệt,"Tìm một thuốc thử cho hiện tượng KHÁC NHAU với từng chất. Chiến lược: dùng một thuốc thử chia nhóm lớn trước, rồi thuốc thử thứ hai phân biệt trong nhóm.","1. Liệt kê đặc điểm riêng của từng chất. → Tìm ra chất nào có dấu hiệu độc nhất để nhận trước. | 2. Chọn thuốc thử chia được tập hợp thành các nhóm nhỏ. → Chia đôi hiệu quả hơn thử từng cái. | 3. Mô tả rõ hiện tượng: kết tủa màu gì, khí mùi gì, có tan lại không. → Đề chấm hiện tượng chứ không chấm tên thuốc thử. | 4. Dùng chính chất đã nhận được làm thuốc thử cho các chất còn lại nếu có thể. → Nhiều đề yêu cầu không dùng thuốc thử ngoài.","Ghi nhớ vài màu kết tủa then chốt: AgCl trắng, BaSO₄ trắng không tan trong axit, Cu(OH)₂ xanh lam, Fe(OH)₃ nâu đỏ, Fe(OH)₂ trắng xanh. Màu sắc là câu trả lời của phần lớn câu nhận biết.",Chọn thuốc thử cho hiện tượng giống nhau ở hai chất — không phân biệt được gì.
Hóa hữu cơ,"Phân tử này có nhóm chức gì, và nhóm chức đó quyết định nó phản ứng thế nào?",org.group,Nhận diện nhóm chức và tính chất,Đề cho công thức cấu tạo hoặc tên gọi hợp chất hữu cơ | Hỏi chất đó phản ứng được với gì,"Nhóm chức quyết định tính chất, mạch cacbon chỉ quyết định mức độ. Nhận ra nhóm chức là biết ngay chất đó phản ứng với những gì — không cần nhớ từng chất một.","1. Tìm nhóm chức trong công thức: −OH, −CHO, −COOH, −NH₂, −COO−. → Đây là trung tâm phản ứng của phân tử. | 2. Nhớ tính chất đặc trưng của nhóm đó. → Ancol tác dụng Na; anđehit tráng bạc; axit tác dụng bazơ và kim loại. | 3. Kiểm tra có liên kết bội trong mạch không. → Liên kết đôi, ba cho thêm phản ứng cộng và làm mất màu brom. | 4. Kết luận về tập hợp phản ứng chất đó tham gia. → Câu hỏi thường ở dạng ""chất nào tác dụng được với cả A và B"".","Ba thuốc thử phân biệt nhanh: Na (ancol và axit sủi bọt), NaHCO₃ (chỉ axit sủi bọt), AgNO₃/NH₃ (chỉ anđehit tráng bạc). Ba thuốc thử này tách được hầu hết các nhóm chức trong chương trình.","Cho rằng ancol tác dụng được với NaOH. Ancol không có tính axit đủ mạnh; chỉ phenol mới tác dụng với NaOH."
Hóa hữu cơ,"Phân tử này có nhóm chức gì, và nhóm chức đó quyết định nó phản ứng thế nào?",org.formula,Xác định công thức phân tử,Đề cho khối lượng CO₂ và H₂O sau khi đốt cháy | Cho phần trăm khối lượng các nguyên tố,"Bảo toàn nguyên tố: mọi cacbon trong chất ban đầu đi vào CO₂, mọi hiđro đi vào H₂O. Từ số mol CO₂ và H₂O suy ra tỉ lệ C:H, rồi dùng khối lượng mol để chốt công thức phân tử.","1. Tính n(CO₂) và n(H₂O). → n(C) = n(CO₂) và n(H) = 2·n(H₂O). | 2. Tính khối lượng C và H, so với khối lượng chất ban đầu để biết có oxi không. → Phần khối lượng còn thiếu chính là oxi. | 3. Lập tỉ lệ mol C:H:O rồi rút gọn ra công thức đơn giản nhất. → Công thức phân tử là bội của công thức đơn giản nhất. | 4. Dùng M để tìm hệ số nhân. → Không có M thì chỉ ra được công thức đơn giản nhất, chưa ra công thức phân tử.","So sánh n(CO₂) với n(H₂O): bằng nhau thì chất có một liên kết pi hoặc một vòng (anken, xicloankan); n(H₂O) lớn hơn thì là ankan. Nhận xét này định hướng ngay loại chất.","Quên kiểm tra chất có chứa oxi không, mặc định luôn là hiđrocacbon."
Hóa hữu cơ,"Phân tử này có nhóm chức gì, và nhóm chức đó quyết định nó phản ứng thế nào?",org.ester,"Este, chất béo và phản ứng xà phòng hóa","Có nhóm −COO− trong công thức | Đề nói về xà phòng hóa, thủy phân trong NaOH",Este + NaOH cho muối và ancol theo tỉ lệ 1:1 (với este đơn chức). Bảo toàn khối lượng cho phép tìm khối lượng ancol mà không cần biết nó là chất gì.,1. Xác định este đơn chức hay đa chức từ số nhóm −COO−. → Số nhóm quyết định tỉ lệ mol với NaOH. | 2. Viết phản ứng thủy phân trong môi trường kiềm. → Sản phẩm là muối của axit và ancol. | 3. Dùng bảo toàn khối lượng: m_este + m_NaOH = m_muối + m_ancol. → Tránh phải xác định cấu tạo cụ thể của từng sản phẩm. | 4. Với chất béo: nhớ tỉ lệ 1 mol chất béo cần 3 mol NaOH và cho 1 mol glixerol. → Chất béo là trieste của glixerol — luôn ba nhóm chức.,"Chất béo luôn cho glixerol khi thủy phân, và tỉ lệ mol chất béo : NaOH : glixerol là 1 : 3 : 1. Ba con số này giải được gần như mọi bài chất béo.","Dùng tỉ lệ 1:1 cho chất béo. Chất béo là trieste, cần 3 mol NaOH."
Lịch sử Việt Nam,"Sự kiện này xảy ra vì điều gì trước nó, và nó mở ra điều gì sau nó?",his.cause,Phân biệt nguyên nhân sâu xa và duyên cớ,"Câu hỏi có ""nguyên nhân sâu xa"", ""nguyên nhân trực tiếp"", ""nguyên cớ"" | Bốn phương án đều là sự kiện có thật liên quan","Nguyên nhân sâu xa là mâu thuẫn tích tụ lâu dài, tồn tại độc lập với sự kiện châm ngòi. Duyên cớ là cái cớ xảy ra ngay trước, có thể thay bằng cái khác mà kết cục không đổi. Phép thử: bỏ nó đi thì sự kiện có xảy ra không? Vẫn xảy ra → đó là duyên cớ.","1. Xác định câu hỏi đang hỏi loại nguyên nhân nào. → Bốn phương án thường chứa cả hai loại. | 2. Loại các phương án là hệ quả chứ không phải nguyên nhân. → Phương án nhiễu hay đảo ngược quan hệ thời gian. | 3. Với nguyên nhân sâu xa: tìm mâu thuẫn cơ bản, kéo dài. → Nó thường là mâu thuẫn kinh tế hoặc mâu thuẫn giai cấp, dân tộc. | 4. Với duyên cớ: tìm sự kiện đơn lẻ, xảy ra sát thời điểm. → Duyên cớ luôn cụ thể và gần về thời gian.","Nguyên nhân sâu xa gần như luôn là một MÂU THUẪN; duyên cớ gần như luôn là một SỰ KIỆN. Nhìn dạng ngữ pháp của phương án là đoán được loại.",Chọn sự kiện gần nhất về thời gian làm nguyên nhân sâu xa.
Lịch sử Việt Nam,"Sự kiện này xảy ra vì điều gì trước nó, và nó mở ra điều gì sau nó?",his.meaning,Đánh giá ý nghĩa lịch sử,"Câu hỏi có ""ý nghĩa quan trọng nhất"", ""ý nghĩa quốc tế"", ""bài học"" | Phương án là các nhận định khái quát","Phân tầng ý nghĩa: với dân tộc, với khu vực, với thế giới. Câu hỏi ""quan trọng nhất"" luôn có một tiêu chí ẩn — thường là tầng rộng nhất mà sự kiện thực sự chạm tới.",1. Xác định phạm vi câu hỏi: trong nước hay quốc tế. → Đáp án đúng phải cùng phạm vi với câu hỏi. | 2. Loại phương án đúng nhưng thuộc phạm vi khác. → Đây là bẫy chính của dạng này. | 3. Loại phương án nói về sự kiện khác hoặc thời kỳ khác. → Đề hay trộn các mốc gần nhau. | 4. Chọn phương án nêu được tính chất ĐẦU TIÊN hoặc BƯỚC NGOẶT. → Ý nghĩa lịch sử lớn thường nằm ở tính tiên phong hoặc tính chuyển hướng.,"Từ ""lần đầu tiên"" trong một phương án là dấu hiệu mạnh. Ý nghĩa lịch sử quan trọng nhất thường gắn với cái gì đó xảy ra lần đầu.",Chọn ý nghĩa đúng nhưng thuộc phạm vi hẹp hơn câu hỏi (trả lời ý nghĩa dân tộc cho câu hỏi ý nghĩa quốc tế).
Lịch sử Việt Nam,"Sự kiện này xảy ra vì điều gì trước nó, và nó mở ra điều gì sau nó?",his.timeline,Sắp xếp và đối chiếu mốc thời gian,Đề cho vài sự kiện và yêu cầu sắp xếp theo thứ tự | Hỏi sự kiện nào diễn ra trước hoặc sau một sự kiện khác,Neo vào các mốc lớn đã thuộc chắc rồi định vị các sự kiện nhỏ quanh chúng. Học mốc theo CHÙM sự kiện chứ không theo từng năm rời rạc — trí nhớ giữ chùm tốt hơn giữ danh sách.,1. Xác định các mốc lớn trong khoảng thời gian đề hỏi. → Chúng là khung để treo các sự kiện nhỏ. | 2. Định vị từng sự kiện là trước hay sau mốc lớn gần nhất. → Dễ hơn nhiều so với nhớ chính xác từng năm. | 3. Dùng quan hệ nhân quả để kiểm tra thứ tự. → Kết quả không thể đứng trước nguyên nhân. | 4. Đối chiếu với các phương án. → Thường chỉ cần xác định đúng hai sự kiện là loại được ba phương án.,"Khi không nhớ năm chính xác, hãy dùng logic nhân quả: Đảng ra đời trước rồi mới có phong trào do Đảng lãnh đạo; hiệp định ký sau khi chiến dịch kết thúc. Logic cứu được rất nhiều câu.",Nhớ nhầm các sự kiện có năm gần nhau trong cùng một giai đoạn.
Lịch sử thế giới,Thay đổi này ở một nơi đã kéo theo thay đổi gì ở nơi khác?,wor.revolution,Các cuộc cách mạng và bước chuyển thời đại,"Đề nói về cách mạng tư sản, cách mạng công nghiệp, cách mạng tháng Mười | Hỏi tính chất, đặc điểm, hoặc kết quả","Xác định ba yếu tố: ai lãnh đạo, lật đổ cái gì, thiết lập cái gì. Ba câu trả lời này quyết định tính chất của cuộc cách mạng và phân biệt nó với các cuộc khác.","1. Xác định giai cấp lãnh đạo. → Tính chất cách mạng do giai cấp lãnh đạo quyết định. | 2. Xác định chế độ bị lật đổ. → Nó cho biết cách mạng giải quyết mâu thuẫn nào. | 3. Xác định chế độ được thiết lập. → Đây là kết quả và cũng là tiêu chí đánh giá tính triệt để. | 4. So sánh với các cuộc cách mạng cùng loại để thấy nét riêng. → Đề hay hỏi ""khác biệt cơ bản giữa A và B"".",Cách mạng tư sản Pháp được coi là triệt để nhất vì nó xóa bỏ hoàn toàn chế độ phong kiến và giải quyết vấn đề ruộng đất cho nông dân — hai tiêu chí này là câu trả lời cho rất nhiều câu hỏi so sánh.,Nhầm cách mạng tư sản với cách mạng vô sản khi cả hai đều lật đổ một chế độ cũ.
Lịch sử thế giới,Thay đổi này ở một nơi đã kéo theo thay đổi gì ở nơi khác?,wor.order,Trật tự thế giới và quan hệ quốc tế,"Đề nói về hội nghị I-an-ta, Chiến tranh lạnh, trật tự hai cực | Hỏi đặc điểm quan hệ quốc tế một giai đoạn","Mỗi trật tự thế giới xác định bởi: ai là cực, dựa trên sức mạnh gì, và các nước nhỏ đứng ở đâu. Chuyển từ trật tự này sang trật tự khác luôn gắn với một biến cố lớn.","1. Xác định giai đoạn và trật tự tương ứng. → Hai cực sau 1945; đa cực sau 1991. | 2. Xác định nội dung đối đầu: quân sự, ý thức hệ, hay kinh tế. → Chiến tranh lạnh là đối đầu ý thức hệ không tiếng súng trực tiếp giữa hai siêu cường. | 3. Liên hệ tác động tới các nước thuộc địa và đang phát triển. → Đây là góc mà đề Việt Nam quan tâm nhất. | 4. Xác định biến cố kết thúc giai đoạn. → Liên Xô tan rã năm 1991 khép lại trật tự hai cực.","Chiến tranh lạnh là đối đầu KHÔNG có xung đột quân sự trực tiếp giữa Mỹ và Liên Xô, nhưng có rất nhiều cuộc chiến ủy nhiệm. Phân biệt được điều này là trả lời được phần lớn câu.",Cho rằng Chiến tranh lạnh là một cuộc chiến tranh theo nghĩa quân sự.
Lịch sử thế giới,Thay đổi này ở một nơi đã kéo theo thay đổi gì ở nơi khác?,wor.trend,Xu thế toàn cầu hóa và hội nhập,"Đề nói về toàn cầu hóa, cách mạng khoa học công nghệ, các tổ chức khu vực | Hỏi cơ hội và thách thức","Mọi xu thế đều có hai mặt, và đề luôn hỏi mặt phù hợp với vị thế của nước đang phát triển. Khung trả lời: cơ hội về vốn, công nghệ, thị trường; thách thức về cạnh tranh, phụ thuộc, bản sắc.","1. Xác định đề hỏi cơ hội hay thách thức. → Bốn phương án thường trộn cả hai. | 2. Đặt mình vào vị thế nước đang phát triển. → Đề Việt Nam luôn nhìn từ góc này. | 3. Loại phương án cực đoan: ""mất hoàn toàn"", ""không còn khả năng"". → Toàn cầu hóa không tước bỏ chủ quyền hay khả năng tiếp cận. | 4. Chọn phương án nêu được tính hai mặt hoặc điều kiện đi kèm. → Nhận định cân bằng thường là nhận định đúng.","Thách thức lớn nhất của toàn cầu hóa với nước đang phát triển luôn là NGUY CƠ TỤT HẬU nếu không nâng được nội lực. Đây là đáp án của rất nhiều câu, diễn đạt theo nhiều cách khác nhau.",Chọn phương án phủ nhận hoàn toàn mặt tích cực của toàn cầu hóa.
Địa lý tự nhiên,"Đặc điểm tự nhiên này do nhân tố nào quyết định, và nó kéo theo hệ quả gì?",nat.position,Vị trí địa lý và hệ quả,"Đề hỏi về vị trí, giới hạn lãnh thổ, hoặc hệ quả của vị trí | Có cụm ""do nằm trong vùng nội chí tuyến"", ""tiếp giáp Biển Đông""","Vị trí quyết định ba thứ theo chuỗi: vĩ độ → nền nhiệt; tiếp giáp biển → độ ẩm; nằm trong khu vực gió mùa → tính phân mùa. Mọi đặc điểm tự nhiên của Việt Nam đều truy được về một trong ba nhánh này.","1. Xác định đặc điểm đề hỏi thuộc nhánh nào: nhiệt, ẩm, hay phân mùa. → Mỗi nhánh có một nguyên nhân gốc khác nhau. | 2. Truy ngược về yếu tố vị trí tương ứng. → Đây chính là câu trả lời cho câu hỏi ""vì sao"". | 3. Loại phương án nêu nhân tố không liên quan tới nhánh đó. → Đề hay trộn nhân tố địa hình vào câu hỏi về nhiệt độ. | 4. Kiểm tra phương án có mô tả đúng đặc điểm Việt Nam không. → Một số phương án đúng về lý thuyết nhưng sai về thực tế nước ta.","Việt Nam nằm hoàn toàn trong vùng nội chí tuyến bán cầu Bắc, nên MỌI nơi đều có hai lần Mặt Trời lên thiên đỉnh mỗi năm. Đây là hệ quả bị hỏi nhiều nhất và cũng bị nhầm nhiều nhất.","Quy đặc điểm phân hóa Bắc – Nam cho địa hình, trong khi nguyên nhân chính là vĩ độ và gió mùa Đông Bắc."
