nhom,thang,chu_de_thang,tuan,thu,gio,nghi_thuc,ma_bai,tieu_de,tru_cot_ghi_trong_bai,tru_cot_chuan,care,co_binh_luan_ghim,cua_chuyen_tang,tep_nguon
G2,04,lan toa,14,Thứ Sáu,19:45,Khoe Nhà Mình,G2-W14-T6-KHOE,Khoe nhà mình: việc cả nhà cùng làm cho một người,Câu chuyện thật,Câu chuyện thật,CARE-5,Có,Không,G2-thang-04-lan-toa.md
G2,04,lan toa,14,Thứ Bảy,08:00,Gia Đình Chơi Cùng Nhau,G2-W14-T7-CHOI,Trò chơi: Bản đồ hàng xóm,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-6,Có,Không,G2-thang-04-lan-toa.md
G2,04,lan toa,14,Chủ nhật,21:00,Bảng Vinh Danh Gia Đình,G2-W14-CN-VINHDANH,Bảng vinh danh tuần 14 — nhà mình đã giúp ai,Cộng đồng,Cộng đồng,CARE-7,Không,Không,G2-thang-04-lan-toa.md
G2,04,lan toa,15,Thứ Hai,11:45,Bài nhẹ,G2-W15-T2-N,Nhà mình biết tên bao nhiêu người hàng xóm?,Kết nối & nghi thức,Kết nối & nghi thức,CARE-1,Không,Không,G2-thang-04-lan-toa.md
G2,04,lan toa,15,Thứ Hai,19:45,Nhiệm Vụ Gia Đình Tuần,G2-W15-T2-NHIEMVU,Nhiệm vụ tuần 15: làm quen một người ở gần,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-3,Có,Không,G2-thang-04-lan-toa.md
G2,04,lan toa,15,Thứ Ba,11:45,Bài nhẹ,G2-W15-T3-N,Lần cuối có người hàng xóm sang nhà mình là khi nào?,Kết nối & nghi thức,Kết nối & nghi thức,CARE-1,Không,Không,G2-thang-04-lan-toa.md
G2,04,lan toa,15,Thứ Ba,17:30,Bàn Ăn Yêu Thương,G2-W15-T3-BANAN,Câu hỏi bàn ăn: hồi bé nhà mình có hàng xóm thế nào?,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-2,Có,Không,G2-thang-04-lan-toa.md
G2,04,lan toa,15,Thứ Tư,11:45,Bài nhẹ · mời nhận công cụ,G2-W15-T4-N,Một câu chào có làm được gì không?,Kết nối & nghi thức,Cửa tầng 1 (công cụ miễn phí),CARE-2,Có,Không,G2-thang-04-lan-toa.md
G2,04,lan toa,15,Thứ Tư,19:45,Việc Tử Tế Của Gia Đình,G2-W15-T4-TUTE,Xây một xóm mà nhà mình muốn con lớn lên trong đó,Hoạt động gia đình,Giải mã & cơ chế,CARE-3,Có,Không,G2-thang-04-lan-toa.md
G2,04,lan toa,15,Thứ Năm,20:00,Cha Mẹ Tỉnh Thức,G2-W15-T5-CMTT,Dạy con lễ phép với người ngoài mà không ép con,Kỹ năng cha mẹ – vợ chồng,Giải mã & cơ chế,CARE-4,Có,Không,G2-thang-04-lan-toa.md
G2,04,lan toa,15,Thứ Sáu,19:45,Khoe Nhà Mình,G2-W15-T6-KHOE,Khoe nhà mình: người hàng xóm mới quen,Câu chuyện thật,Câu chuyện thật,CARE-5,Có,Không,G2-thang-04-lan-toa.md
G2,04,lan toa,15,Thứ Bảy,08:00,Gia Đình Chơi Cùng Nhau,G2-W15-T7-CHOI,Trò chơi: Đi bộ mười phút quanh nhà,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-6,Có,Không,G2-thang-04-lan-toa.md
G2,04,lan toa,15,Chủ nhật,21:00,Bảng Vinh Danh Gia Đình,G2-W15-CN-VINHDANH,Bảng vinh danh tuần 15 — những cái tên mới,Cộng đồng,Cộng đồng,CARE-7,Không,Không,G2-thang-04-lan-toa.md
G2,04,lan toa,16,Thứ Hai,11:45,Bài nhẹ,G2-W16-T2-N,"Bốn tháng qua, nhà mình đổi được một việc gì?",Kết nối & nghi thức,Kết nối & nghi thức,CARE-1,Không,Không,G2-thang-04-lan-toa.md
G2,04,lan toa,16,Thứ Hai,19:45,Nhiệm Vụ Gia Đình Tuần,G2-W16-T2-NHIEMVU,Nhiệm vụ cuối mùa: một trang kỷ yếu của nhà mình,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-3,Có,Không,G2-thang-04-lan-toa.md
G2,04,lan toa,16,Thứ Ba,11:45,Bài nhẹ,G2-W16-T3-N,Việc nhà mình thử mà không thành là gì?,Kết nối & nghi thức,Kết nối & nghi thức,CARE-1,Không,Không,G2-thang-04-lan-toa.md
G2,04,lan toa,16,Thứ Ba,17:30,Bàn Ăn Yêu Thương,G2-W16-T3-BANAN,Câu hỏi bàn ăn cuối mùa: bốn tháng qua con thích nhất việc gì?,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-2,Có,Không,G2-thang-04-lan-toa.md
G2,04,lan toa,16,Thứ Tư,11:45,Bài nhẹ · mời nhận công cụ,G2-W16-T4-N,Bộ công cụ nhà mình mang sang mùa sau,Kết nối & nghi thức,Cửa tầng 1 (công cụ miễn phí),CARE-2,Có,Không,G2-thang-04-lan-toa.md
G2,04,lan toa,16,Thứ Tư,19:45,Việc Tử Tế Của Gia Đình,G2-W16-T4-TUTE,Bốn tháng nhà mình đã cho đi được gì,Hoạt động gia đình,Giải mã & cơ chế,CARE-3,Có,Không,G2-thang-04-lan-toa.md
G2,04,lan toa,16,Thứ Năm,20:00,Cha Mẹ Tỉnh Thức,G2-W16-T5-CMTT,Hỏi & Đáp cuối mùa: mọi câu còn lại,Kỹ năng cha mẹ – vợ chồng,Giải mã & cơ chế,CARE-4,Có,Không,G2-thang-04-lan-toa.md
G2,04,lan toa,16,Thứ Sáu,19:45,Khoe Nhà Mình,G2-W16-T6-KHOE,Khoe trang kỷ yếu của nhà mình,Câu chuyện thật,Câu chuyện thật,CARE-5,Có,Không,G2-thang-04-lan-toa.md
G2,04,lan toa,16,Thứ Bảy,08:00,Gia Đình Chơi Cùng Nhau,G2-W16-T7-CHOI,Trò chơi cuối mùa: Hộp thời gian,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-6,Có,Không,G2-thang-04-lan-toa.md
G2,04,lan toa,16,Chủ nhật,21:00,Bảng Vinh Danh Gia Đình · Khép Mùa,G2-W16-CN-VINHDANH,KHÉP MÙA GIEO — bảng thi đua bốn tháng và Kỷ yếu,Cộng đồng,Cộng đồng,CARE-8,Có,Có,G2-thang-04-lan-toa.md
